Facility Name,Primary Service Category,Layers of Care Provided,Parish,City,Physical Address,Intake / Admissions Phone,After-Hours Coverage Line,Admin Email Contact,Age Groups Treated (Ages),Total Psychiatric Bed Count,Specialized Clinical Tracks,Medicaid Enrolled (Y/N),Medicare Enrolled (Y/N),Commercial Insurance Accepted,Discharge Planning / Referral Liaison,program_name,clarity_fit,notes
Oceans Behavioral Hospital of Opelousas,Psychiatric Inpatient,Inpatient,St. Landry,Opelousas,1310 Heather Drive,3379488820.0,,katherine.simoneaux@oceanshealthcare.com,,20,,,,,Katherine  Simoneaux,Oceans Behavioral Hospital of Opelousas,,
"Compass Behavioral Center of Houma, LLC",Psychiatric Inpatient,Inpatient,Terrebonne,Houma,4701 West Park Avenue,9858761715.0,,arichards@compasshealthcare.com,,20,,,,,ANDRE  ROBICHAUX,"Compass Behavioral Center of Houma, LLC",,
Beacon Behavioral Hospital - Central,Psychiatric Inpatient,Inpatient,Avoyelles,Bunkie,"323 Evergreen Street , Suite B",3183463143.0,,jabarir@beaconbh.com,,18,,,,,JABARI  RANSOME,Beacon Behavioral Hospital - Central,,
Genesis Behavioral Hospital,Psychiatric Inpatient,Inpatient,St. Martin,Breaux Bridge,606 Latiolais Drive,3374426254.0,,warledge@genesisbh.com,,18,,,,,William  Arledge,Genesis Behavioral Hospital,,
Sage Specialty Hospital,Psychiatric Inpatient,Inpatient,Livingston,Denham Springs,8375 Florida Boulevard,2256652664.0,,smiles@sageltac.com,,17,,,,,SYBIL  MILES,Sage Specialty Hospital,,
Ochsner St. Mary,Psychiatric Inpatient,Inpatient,St. Mary,Morgan City,1125 Marguerite Street,9853842200.0,,elmore.patterson@ochsner.org,,17,,,,,ELMORE  PATTERSON,Ochsner St. Mary,,
LaSalle General Hospital,Psychiatric Inpatient,Inpatient,Lasalle,Jena,187 Ninth Street/Highway 84 West,3189929200.0,,lfrancis@lgh-jena.org,,16,,,,,Lana  Francis,LaSalle General Hospital,,
Abbeville General Hospital,Psychiatric Inpatient,Inpatient,Vermilion,Abbeville,118 N. Hospital Drive,3378935466.0,,michael.bertrand@abbevillegeneral.com,,16,,,,,TROY  HAIR,Abbeville General Hospital,,
Natchitoches Regional Medical Center,Psychiatric Inpatient,Inpatient,Natchitoches,Natchitoches,501 Keyser Avenue,3184712628.0,,kirk.soileau@nrmchospital.org,,15,,,,,KIRK  SOILEAU,Natchitoches Regional Medical Center,,
Iberia Medical Center,Psychiatric Inpatient,Inpatient,Iberia,New Iberia,2315 East Main Street,3373640441.0,,dviator@iberiamedicalcenter.com,,12,,,,,DIONNE  VIATOR,Iberia Medical Center,,
Avoyelles Hospital,Psychiatric Inpatient,Inpatient,Avoyelles,Marksville,4231 Hwy. 1192,3182538611.0,,tcurry@ahmgt.com,,12,,,,,Timothey  Curry,Avoyelles Hospital,,
Our Lady of the Angels Hospital,Psychiatric Inpatient,Inpatient,Washington,Bogalusa,433 Plaza St.,9857306706.0,,rene.ragas@fmolhs.org,,12,,,,,"Rene  Ragas, MHA",Our Lady of the Angels Hospital,,
East Jefferson General Hospital,Psychiatric Inpatient,Inpatient,Jefferson,Metairie,4200 Houma Blvd.,5044544000.0,,richard.tanzella@lcmchealth.org,,12,,,,,RICHARD A TANZELLA,East Jefferson General Hospital,,
Mercy Regional Medical Center,Psychiatric Inpatient,Inpatient,Evangeline,Ville Platte,800 East Main Street,3373635684.0,,Kristopher.aguillard@ahmgt.com,,12,,,,,KRISTOPHER D AGUILLARD,Mercy Regional Medical Center,,
Springhill Medical Center,Psychiatric Inpatient,Inpatient,Webster,Springhill,2001 Doctors Drive,3185391001.0,,pete.johnson@emailsmc.com,,12,,,,,Peter B Johnson,Springhill Medical Center,,
Acadia St. Landry Hospital,Psychiatric Inpatient,Inpatient,Acadia,Church Point,810 South Broadway St,3376845435.0,,mjl@aslh.org,,10,,,,,MICHAEL J LEJEUNE,Acadia St. Landry Hospital,,
Ochsner Abrom Kaplan Memorial Hospital,Psychiatric Inpatient,Inpatient,Vermilion,Kaplan,1310 West Seventh Street,3376438300.0,,bryce.quebodeaux@ochsner.org,,10,,,,,Bryce  Quebodeaux,Ochsner Abrom Kaplan Memorial Hospital,,
DeQuincy Memorial Hospital,Psychiatric Inpatient,Inpatient,Calcasieu,Dequincy,110 West Fourth Street,3377861200.0,,psavoy@ahmgt.com,,10,,,,,FRANK P SAVOY III,DeQuincy Memorial Hospital,,
Morehouse General Hospital,Psychiatric Inpatient,Inpatient,Morehouse,Bastrop,323 West Walnut,3182833600.0,,Derrick.Frazier@mghospital.com,,10,,,,,Derrick  Fraizer,Morehouse General Hospital,,
Hardtner Medical Center,Psychiatric Inpatient,Inpatient,Lasalle,Olla,1102 N. Pine Rd.,3184953131.0,,admin@hardtnermedical.com,,10,,,,,MR Paul G Mathews,Hardtner Medical Center,,
Ochsner St. Anne General Hospital,Psychiatric Inpatient,Inpatient,Lafourche,Raceland,4608 Highway 1,9855376841.0,,fernis.leblanc@ochsner.org,,10,,,,,JUAN  AWAD,Ochsner St. Anne General Hospital,,
Peaceful Alternatives Counseling and Therapy,Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,118 Touline Street,3184794751.0,,peacefulalternatives@peacefulpacts.com,,0,Substance Use Disorder,,,,Robert  Terry,Peaceful Alternatives Counseling and Therapy,,
Youth and Family Empowerment Services,Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,200 Rapides Drive Suite A,3183796504.0,,yfes.mst@gmail.com,,0,Substance Use Disorder,,,,Reneka  Hayes,Youth and Family Empowerment Services,,
Community Counseling Center at Cane River,Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,830 Fourth Street,3182144002.0,,jjkarle@yahoo.com,,0,Substance Use Disorder,,,,Jennifer  Karle,Community Counseling Center at Cane River,,
Joy Impact Counseling Services,Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,"415 Bienville St, Suite B",3186528140.0,,rstewart.jic@outlook.com,,0,Substance Use Disorder,,,,Kelvin  Stewart,Joy Impact Counseling Services,,
"Winterhaven Professional Counseling Services, LLC",Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,1760 Texas Street,3182388501.0,,winterhaven1@hotmail.com,,0,Substance Use Disorder,,,,Jonathan  Crew,"Winterhaven Professional Counseling Services, LLC",,
Rehabilitation Services of Central La-Natchitoches,Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,430 Dixie Plaza,3183579009.0,,ceo@rsofla.com,,0,Substance Use Disorder,,,,Christopher  Mudd,Rehabilitation Services of Central La-Natchitoches,,
"Provision Rehab, LLC",Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,733 Keyser Avenue Ste 120,3182384030.0,,provisionrehab@yahoo.com,,0,Substance Use Disorder,,,,DeAdrian  Ficklin,"Provision Rehab, LLC",,
Mind Rehab and Resource Center,Behavioral Health Service,Behavioral Health Service,Natchitoches,Natchitoches,344 South Drive Suite A,3183525757.0,,mindrehab@comcast.net,,0,Substance Use Disorder,,,,Tambria  Hunt,Mind Rehab and Resource Center,,
Claire House for Women and Children,Behavioral Health Service,Behavioral Health Service,St. Mary,Morgan City,1101 Southeast Blvd Suite A,9853952424.0,,director@clairehouse.com,,0,Substance Use Disorder,,,,Terry  Foulcard,Claire House for Women and Children,,
St Mary Behavioral Health Center,Behavioral Health Service,Behavioral Health Service,St. Mary,Morgan City,"500 Roderick Street, Suite B",9853802460.0,,amber.cavalier@la.gov,,0,Substance Use Disorder,,,,Kent  St. Germain,St Mary Behavioral Health Center,,
"Aimwell Recovery Center, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,1106 Suite B Stubbs Ave,3188165329.0,,reestis@aimwellrecovery.com,,0,Substance Use Disorder,,,,Catherine  Estis,"Aimwell Recovery Center, LLC",,
A Place for Her,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,2525 Ferrand Street,3185825880.0,,aplaceforher@gmail.com,,0,Substance Use Disorder,,,,Dana C Jones,A Place for Her,,
"Absolute Care, INC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,500 N 21st Street,3184504911.0,,absolutecare@ymail.com,,0,Substance Use Disorder,,,,Markus  Bosley,"Absolute Care, INC",,
"Alliance Northeast Healthcare, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,2116 Justice Street,3188072025.0,,1stladydouglas@gmail.com,,0,Substance Use Disorder,,,,Sonya  Douglas,"Alliance Northeast Healthcare, LLC",,
"Behavioral Management & Addictive Disorders, Inc",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,2910 Evangeline,3183885553.0,,bmad@bayou.com,,0,Substance Use Disorder,,,,Carlie  Taylor,"Behavioral Management & Addictive Disorders, Inc",,
"Behavioral Solutions, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"215 Bres Ave, Suite G",3185098073.0,,behavioral_solutions@comcast.net,,0,Substance Use Disorder,,,,Yolanda  Dupre,"Behavioral Solutions, LLC",,
Biltmore Health Services-Monroe,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"3001 Armand Street, Suite G-H",3188553681.0,,sanderstyona@yahoo.com,,0,Substance Use Disorder,,,,Omar  Ellison,Biltmore Health Services-Monroe,,
"Center for Behavioral Health Louisiana, Inc.",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,1910 Ruffin Drive,3183409596.0,,tonya.romero@centerforbehavioralhealth.com,,0,Substance Use Disorder,,,,Mary  Massman,"Center for Behavioral Health Louisiana, Inc.",,
Cognitive Development Center Behavioral Health Services,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,4951 Central Ave,3183401535.0,,cbutler@seasidehc.com,,0,Substance Use Disorder,,,,Adrian  Fisher,Cognitive Development Center Behavioral Health Services,,
"Community Rehabilitation Center, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"2414 Ferrand Street, Suite 1",3183250072.0,,crcrehab@att.net,,0,Substance Use Disorder,,,,Osna R Horne,"Community Rehabilitation Center, LLC",,
Cornerstone Behavioral Health,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,3100 Kilpatrick Blvd Suite 102,3183258048.0,,cornerstonecmhc@yahoo.com,,0,Substance Use Disorder,,,,Adrian  Williams,Cornerstone Behavioral Health,,
Easter Seals Louisiana - Monroe,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"300 Washington Street, Suite 401",3183880293.0,,tscorbin@laeasterseals.com,,0,Substance Use Disorder,,,,Tonjia  Corbin,Easter Seals Louisiana - Monroe,,
Easy Living Behavioral Health,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,216 Ouachita Ave,3183224770.0,,myrtleburks22@yahoo.com,,0,Substance Use Disorder,,,,Myrtle  Burks,Easy Living Behavioral Health,,
"Enrich Behavioral Health, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"806 North 31st Street, Suite C",3185702981.0,,kirstenworks@aol.com,,0,Substance Use Disorder,,,,Brenda  Hayes-Williams,"Enrich Behavioral Health, LLC",,
Faith and Hope Behavioral Health,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,2017 Hudson Ln. Suite -A,3183818584.0,,angrumn@gmail.com,,0,Substance Use Disorder,,,,Neal  Angrum,Faith and Hope Behavioral Health,,
"Changing Behavior Services of Minden, LLC",Behavioral Health Service,Behavioral Health Service,Webster,Minden,601 Homer Road,3183716707.0,,pamelaphillips@ymail.com,,0,Substance Use Disorder,,,,Angela  Brown,"Changing Behavior Services of Minden, LLC",,
New Concept Development Center,Behavioral Health Service,Behavioral Health Service,Webster,Minden,"15365 Highway 80, Suite B",3183774549.0,,newconceptdcllc@outlook.com,,0,Substance Use Disorder,,,,Kimberly  Weston,New Concept Development Center,,
Tender Kare Counseling Agency - Minden,Behavioral Health Service,Behavioral Health Service,Webster,Minden,215 Main Street,3186399543.0,,tenderkare_counseling@yahoo.com,,0,Substance Use Disorder,,,,Kay  Caesar,Tender Kare Counseling Agency - Minden,,
"Family New Life Rehabilitation Center, Inc",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,3100 Kilpatrick Blvd Suite 100,3183258050.0,,fnlr@bellsouth.net,,0,Substance Use Disorder,,,,Adrian  Williams,"Family New Life Rehabilitation Center, Inc",,
"Forever And A Day, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,806 D North 31st Street,3188553868.0,,foreverandadayllc@comcast.net,,0,Substance Use Disorder,,,,Rita  Putman,"Forever And A Day, LLC",,
"Guidance for Behavioral Health, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"1204 Stubbs Ave, Suite B",3185825633.0,,guidancebhs16@gmail.com,,0,Substance Use Disorder,,,,Tonia  Freeman,"Guidance for Behavioral Health, LLC",,
"Horizon Rehabilitation Center, Inc.",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,2911 Cameron Street,3186519363.0,,hrcc2911@yahoo.com,,0,Substance Use Disorder,,,,Dr. Kerry  Scott,"Horizon Rehabilitation Center, Inc.",,
"Immanuels Healing Center, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"2404 Ferrand Street, Suite 23",3183230463.0,,imman_healing_center@yahoo.com,,0,Substance Use Disorder,,,,Kelvin C Horne,"Immanuels Healing Center, LLC",,
Monroe Behavioral Health Clinic,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,4800 South Grand Street,3183623339.0,,Tricia.Lofton@la.gov,,0,Substance Use Disorder,,,,Tricia  Lofton,Monroe Behavioral Health Clinic,,
"New Heights, Inc",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,1610 Jackson Street,3185122857.0,,jnwufoh@yahoo.com,,0,Substance Use Disorder,,,,Jacquline J Nwufoh,"New Heights, Inc",,
New Life Behavioral and Youth Development LLC,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,201 Morris Avenue,3188165514.0,,rosilyneleam15@gmail.com,,0,Substance Use Disorder,,,,Rosilyn  Eleam,New Life Behavioral and Youth Development LLC,,
Pecan Haven Addiction Recovery Center,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,2321 Highway 80 East,3186003333.0,,Eweaver@pecanhaven.com,,0,Substance Use Disorder,,,,Erin  Weaver,Pecan Haven Addiction Recovery Center,,
People United Behavioral Health,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"1401 Hudson Lane, Suite 202",3183231300.0,,peopleunitedR8@gmail.com,,0,Substance Use Disorder,,,,Matrice  Holland,People United Behavioral Health,,
Protective Factors,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"801 North 31st Street, Suite 1",3187377794.0,,protectivefactorsllc@yahoo.com,,0,Substance Use Disorder,,,,Victoria  Wallace,Protective Factors,,
Rays of Sonshine,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,616 North 3rd Street,3183230502.0,,cwhite90@comcast.net,,0,Substance Use Disorder,,,,Lynn  Daniel,Rays of Sonshine,,
Rays of Sonshine Longterm Residential,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,3602 Richmond Road,3183230502.0,,cwhite90@comcast.net,,0,Substance Use Disorder,,,,Lynn  Danial,Rays of Sonshine Longterm Residential,,
"Rehab Services of NE LA,LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,4310 S. Grande,318324544.0,,ceo@rsofla.com,,0,Substance Use Disorder,,,,Christopher  Mudd,"Rehab Services of NE LA,LLC",,
"Renewed Minds Behavioral Center, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"801 Stubbs Avenue, Suite E & F",3185124997.0,,rn.richardson@hotmail.com,,0,Substance Use Disorder,,,,Karlin  Richardson,"Renewed Minds Behavioral Center, LLC",,
"River City Professional Counseling Services, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,908 North 3rd Street,3183258748.0,,rivercitypcs@bellsouth.net,,0,Substance Use Disorder,,,,Deborah  Doublin,"River City Professional Counseling Services, LLC",,
Riversouth Rehabilitation Center,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,1010 North Ninth Street,3184101062.0,,riversouth3@yahoo.com,,0,Substance Use Disorder,,,,Terri Bursey-Agugua,Riversouth Rehabilitation Center,,
Shoulders of Strength - Monroe,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,2807 Evangeline Street,3186547667.0,,sosinc130@aol.com,,0,Substance Use Disorder,,,,Tara  Harris,Shoulders of Strength - Monroe,,
"The Bridge Family Therapy, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"1900 N 18th Street, Suite 217",3186006838.0,,kimj@thebridgefamilytherapy.com,,0,Substance Use Disorder,,,,Kimberly  Johnson,"The Bridge Family Therapy, LLC",,
The Center for Children and Families - Monroe,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,622 Riverside Drive,3183980945.0,,mthornton@standforhope.org,,0,Substance Use Disorder,,,,Matthew  Thornton,The Center for Children and Families - Monroe,,
"The Macro Group, Inc.",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,1602 Royal Avenue,3183257725.0,,themacrogroup@yahoo.com,,0,Substance Use Disorder,,,,Dustin  Ebanks,"The Macro Group, Inc.",,
Transitions Counseling and Development Center,Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,1020 North 3rd Street,3183614482.0,,transitionscdc@att.net,,0,Substance Use Disorder,,,,Adrian  Turner,Transitions Counseling and Development Center,,
"Universal Rehabilitation Center, LLC",Behavioral Health Service,Behavioral Health Service,Ouachita,Monroe,"2414 Ferrand Street, Suite 2",3183429979.0,,serviu@comcast.net,,0,Substance Use Disorder,,,,Tiffany R Wyatt,"Universal Rehabilitation Center, LLC",,
Positive Direction Support Services,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"1995 Gentilly Blvd, Suite C-400",5049440453.0,,info@positivedirectionnola.com,,0,Substance Use Disorder,,,,Donnyette  Love,Positive Direction Support Services,,
QUALIS CARE,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,4201 WOODLAND DRIVE,5043785067.0,,Juan@QUALISCARE.COM,,0,Substance Use Disorder,,,,Colin C Connor III,QUALIS CARE,,
"REBYLT, LLC",Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"1615 Poydras Street, Suite 900",5049572432.0,,andreajones1908@yahoo.com,,0,Substance Use Disorder,,,,Andrea  Jones,"REBYLT, LLC",,
Rehabilitation Services of New Orleans-New Orleans,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"4747 Earhart Blvd, Suite D",5044822600.0,,ceo@rsofla.com,,0,Substance Use Disorder,,,,Christopher  Mudd,Rehabilitation Services of New Orleans-New Orleans,,
Restoring Hope Behavioral Health Services,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,7240 Crowder Blvd Suite 209,5049312477.0,,asimpson@restoringhopebhs.org,,0,Substance Use Disorder,,,,Anthony Simpson,Restoring Hope Behavioral Health Services,,
Shared Hearts Mental Health Services,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"4480 Gen DeGaulle, Suite 206",5047583114.0,,germaineedwards@sharedheartsmhs.com,,0,Substance Use Disorder,,,,Dr Germaine  Edwards,Shared Hearts Mental Health Services,,
Sinfonia Family Services of Louisiana-New Orleans,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"4000 Bienville Street, Suite G",5043735677.0,,mehart@sfslouisiana.com,,0,Substance Use Disorder,,,,Mary  Hart,Sinfonia Family Services of Louisiana-New Orleans,,
Southern Community Network,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"2714 Canal Street, Suite 316",5049139335.0,,scnservicesllc@hotmail.com,,0,Substance Use Disorder,,,,Naaman  Stewart,Southern Community Network,,
Stages of Change,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"2714 Canal Street, Suite 307",5048271083.0,,stagesofchange@yahoo.com,,0,Substance Use Disorder,,,,Tekana  Gainer,Stages of Change,,
Suncrest Behavioral Health Services,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,4480 General DeGaulle Dr. Ste 113,5043725511.0,,suncrestbhservices@gmail.com,,0,Substance Use Disorder,,,,Chantel  Vicks,Suncrest Behavioral Health Services,,
"The Creed Group of Louisiana, LLC",Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,615 Baronne Street # 304,5048148001.0,,creedgroupofla@gmail.com,,0,Substance Use Disorder,,,,Phillip  Brock,"The Creed Group of Louisiana, LLC",,
The Gift Mental Health,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,"3301 Canal Street,  Suite 1",5046442575.0,,thegiftmhc@outlook.com,,0,Substance Use Disorder,,,,Donna  Holt,The Gift Mental Health,,
The Growth and Development Center,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"10001 Lake Forest Blvd, Suite 409",5049754890.0,,ghosey.gdc@gmail.com,,0,Substance Use Disorder,,,,Glenn  Hosey,The Growth and Development Center,,
"Total Sentencing Alternatives Program, LLC",Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"2601 Tulane Avenue, Suite 300",5045706120.0,,wwwelch1012@gmail.com,,0,Substance Use Disorder,,,,William  Welch,"Total Sentencing Alternatives Program, LLC",,
"Townsend Recovery Center New Orleans, LLC",Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"5620 Read Blvd, 5th Floor",5045134200.0,,mdoty@contactaac.com,,0,Substance Use Disorder,,,,Tiffany  Centers,"Townsend Recovery Center New Orleans, LLC",,
Two Dreams New Orleans,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"1820 St. Charles Ave, Suite 212",7086134750.0,,contact@twodreams.com,,0,Substance Use Disorder,,,,Andrea  Barthwell,Two Dreams New Orleans,,
Volunteers of America Southeast Louisiana,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,4152 Canal Street,5044822130.0,,jleblanc@voagno.org,,0,Substance Use Disorder,,,,James m LeBlanc,Volunteers of America Southeast Louisiana,,
Walker Family Services,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"6305 Elysian Fields Ave, Suite 301B",5043247332.0,,fwalker@walkerfamilyservices.com,,0,Substance Use Disorder,,,,"FREDERICK  WALKER, JR",Walker Family Services,,
Wish Health Services,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,3301 LaSalle Street,5046486820.0,,aprilp.lascc@gmail.com,,0,Substance Use Disorder,,,,APRIL  PERKINS,Wish Health Services,,
Positive Living Tx. Center,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,3330 Canal Street,5048272701.0,,generalinfo@pyramid-inc.org,,0,Substance Use Disorder,,,,Terry  Mogilles,Positive Living Tx. Center,,
"Odyssey House Louisiana, Inc",Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,1125 N Tonti Street,5048219211.0,,ecarlson@ohlinc.org,,0,Substance Use Disorder,,,,Edward  Carlson,"Odyssey House Louisiana, Inc",,
"Obyke Health Care Services, LLC",Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,3028 Gentilly Blvd,5046067442.0,,obykehealthcare@att.net,,0,Substance Use Disorder,,,,Rose  Okpalobi,"Obyke Health Care Services, LLC",,
"Harper''s Counseling & Family Therapy, LLC",Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,1832  Saint Bernard Avenue,5043249804.0,,harperh105@yahoo.com,,0,Substance Use Disorder,,,,Angela  Harper,"Harper''s Counseling & Family Therapy, LLC",,
Health Guardians,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,3222 Canal Street,5043106933.0,,bwortham@ccano.org,,0,Substance Use Disorder,,,,BEN  WORTHAM,Health Guardians,,
"Impact Behavior Health Services, LLC",Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,1406 Esplanade Ave,5043044097.0,,jacimpact@gmail.com,,0,Substance Use Disorder,,,,Tracy  Clark,"Impact Behavior Health Services, LLC",,
In This Together,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"7921 Bullard Ave, Suite 2C",5043739626.0,,ittnola@aol.com,,0,Substance Use Disorder,,,,Michael  Hickenson,In This Together,,
Infinite Solutions,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"8070 Crowder Blvd, Suite A",5044102316.0,,ronique.randall@ismentalwellness.com,,0,Substance Use Disorder,,,,Ronique  Randall,Infinite Solutions,,
Inspiring Hope,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,701 Loyola Avenue Suite 804,5049755838.0,,inspiringhopebha@gmail.com,,0,Substance Use Disorder,,,,Dionne-Parker  George,Inspiring Hope,,
Integrated Family Services,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,3604 Canal Street,5044589256.0,,cmichelle100@yahoo.com,,0,Substance Use Disorder,,,,Michelle  Crossley,Integrated Family Services,,
Integrity Behavioral Management,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,5610 Read Blvd,5043418188.0,,terryjlain@yahoo.com,,0,Substance Use Disorder,,,,Terry  Lain,Integrity Behavioral Management,,
Jackson Hands of Change,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,4035 Washington Avenue,5045355082.0,,jacksonhandsofchange@gmail.com,,0,Substance Use Disorder,,,,Dreatha  Jackson,Jackson Hands of Change,,
Key Behavior Essentials,Behavioral Health Service,Behavioral Health Service,,New Orleans,701 Loyola Avenue Suite 405,5043091780.0,,asmith@kbela.com,,0,Substance Use Disorder,,,,Antoine  Smith,Key Behavior Essentials,,
Louisiana Health Partners,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,1042 Annunciation Street,5043034646.0,,dgreen@lahealthpartners.com,,0,Substance Use Disorder,,,,Gail  Dudley,Louisiana Health Partners,,
Loving Hearts Social Services-New Orleans,Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"10001 Lake Forest Blvd, Suite 404",5048215220.0,,kreed2b@gmail.com,,0,Substance Use Disorder,,,,Kecia Reed,Loving Hearts Social Services-New Orleans,,
"MCN Counseling, LLC",Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,2714 Canal Street # 402,5043046945.0,,GDIncorporated@msn.com,,0,Substance Use Disorder,,,,Felicia  Bowers,"MCN Counseling, LLC",,
Merakey PENNSYLVANIA-NEW ORLEANS,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,3303-3 Tulane Avenue,5043021323.0,,mdahlhauser@merakey.org,,0,Substance Use Disorder,,,,Mike  Dahlhauser,Merakey PENNSYLVANIA-NEW ORLEANS,,
Metropolitan Crisis Response Team (RHD),Behavioral Health Service,Behavioral Health Service,Jefferson,New Orleans,"2221 Philip Street, Suite 209",5048262675.0,,aisher.salmeron@rhd.org,,0,Substance Use Disorder,,,,Jessica  Olivier,Metropolitan Crisis Response Team (RHD),,
Metropolitian Assertive Community Treatment Team,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,"1050 S Jeff Davis Pkwy, Suite 212 & 325",5048217230.0,,adrienne.warren@rhd.org,,0,Substance Use Disorder,,,,Adrienne  Warren,Metropolitian Assertive Community Treatment Team,,
Milestones Mental Health Agency,Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,4919 Canal Street Suite 203,5044839883.0,,milestones@bellsouth.net,,0,Substance Use Disorder,,,,Stacey  Griffin,Milestones Mental Health Agency,,
"Nami New Orleans, Inc",Behavioral Health Service,Behavioral Health Service,Orleans,New Orleans,1538 Louisiana Avenue,5048962345.0,,lisa@namineworleans.org,,0,Substance Use Disorder,,,,Lisa  Romback,"Nami New Orleans, Inc",,
